Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
Albanian Artists Association,169 east 101st street,"169 east 101st street, New York",40.7890741,-73.9480369,New York,NY,10029,(212) 945-8268,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,166,1051843,1016290024,East Harlem South
Alchemy Theatre Company of Manhattan,412 West 42nd Street,"412 West 42nd Street, New York",40.7583263,-73.9935168,New York,NY,10036,(212) 967-0901,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,115,1026330,1010510029,Clinton
"Alianza Dominicana, Inc.","2410 Amsterdam Avenue, 4th floor","2410 Amsterdam Avenue, 4th floor, New York",40.8472736,-73.9318948,New York,NY,10033,(212) 740-1960,Folk Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,261,1063604,1021520048,Washington Heights South
"All Faiths Restoration & Beautification Program, Inc",67-29 Metropolitan Avenue,"67-29 Metropolitan Avenue, Queens",40.7147387,-73.8918641,Queens,NY,11731,(718) 821-1750,,,Queens Community Board #5,Queens,60701,4062578,4027900001,Middle Village
"All For One Theater Festival, Inc.",1650 Broadway,"1650 Broadway, New York",40.7617748,-73.9833203,New York,NY,10019,(212) 398-7180,Theater,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,131,1024811,1010220035,Midtown-Midtown South
"All Out Arts, Inc.",131 West 35th Street,"131 West 35th Street, New York",40.7512291,-73.9886502,New York,NY,10001-2111,(917) 701-9033,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,109,1015225,1008110016,Midtown-Midtown South
"Alley Pond Environmental Center, Inc.",228-06 Northern Blvd.,"228-06 Northern Blvd., Douglaston",40.7627104,-73.753365,Douglaston,NY,11362,(718) 229-4000 x209,Science,Queens Council District #19,Queens Community Board #11,Queens,138502,4161977,4075700200,park-cemetery-etc-Queens
"Alliance for Downtown New York, Inc","120 Broadway, Ste. 3340","120 Broadway, Ste. 3340, New York",40.7084773,-74.0105984,New York,NY,10271,(212) 835-2740,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,7,1001026,1000477501,Battery Park City-Lower Manhattan
Alliance for Inclusion in the Arts,"1560 Broadway, Suite 1600","1560 Broadway, Suite 1600, New York",40.7586827,-73.9846239,New York,NY,10036,(212) 730-4750,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1022661,1009990003,Midtown-Midtown South
"Alliance for Young Artists and Writers, Inc.",557 Broadway,"557 Broadway, New York",40.7240463,-73.9983888,New York,NY,10012,(212) 343-7702,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,49,1088114,1004980009,SoHo-TriBeCa-Civic Center-Little Italy
"Alliance for the Arts, Inc.","330 West 42nd Street, Ste. 1701","330 West 42nd Street, Ste. 1701, New York",40.7575736,-73.9916115,New York,NY,10036,(212) 947-6340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,115,1024926,1010320048,Clinton
"Alliance for the Development of Theatre Artists, Inc.","520 Eighth Ave., Suite 315","520 Eighth Ave., Suite 315, New York",40.753615,-73.9920415,New York,NY,10018,(212) 447-6309,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,109,1083624,1007860001,Midtown-Midtown South
"Alliance of Queens Artists, Inc.",99-10 Metropolitan Avenue,"99-10 Metropolitan Avenue, Forest Hills",40.710615,-73.853345,Forest Hills,NY,11375,(718) 520-9842,Visual Arts,Queens Council District #29,,Queens,645,4095202,4038940035,Forest Hills
"Alliance of Resident Theatres / New York, Inc.","520 Eighth Avenue, Suite 319","520 Eighth Avenue, Suite 319, New York",40.753615,-73.9920415,New York,NY,10018,(212) 244-6667 x228,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
"Allied Productions, Inc.",P.O. Box 20260,"P.O. Box 20260, New York",40.7218145,-73.9814648,New York,NY,10009,(212) 529-8815,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,,,,
"Alpha Omega 1-7 Theatrical Dance Company, Inc.","711 Amsterdam Avenue, Ste. 4E","711 Amsterdam Avenue, Ste. 4E, New York",40.7929701,-73.9708775,New York,NY,10025,(212) 749-0095,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,181,1032551,1012250001,Upper West Side
"Art Creates Us, Inc.",601 WEST 26TH ST,"601 WEST 26TH ST, NEW YORK",40.7516571,-74.0071579,NEW YORK,NY,10001,(212) 256-1947,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Brooklyn,,,,
"Alpha Workshops, Inc.","245 West 29th Street, Suite 12A","245 West 29th Street, Suite 12A, New York",40.7488206,-73.9945268,New York,NY,10001,(212) 594-7320,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1014282,1007790013,Midtown-Midtown South
"Alvin Ailey Dance Foundation, Inc.",The Joan Weill Center for Dance,"The Joan Weill Center for Dance, New York",40.7669315,-73.9868587,New York,NY,10019,(212) 405-9015 x220,Dance,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,,,,
Alwan Foundation,"16 Beaver Street, 4th Floor","16 Beaver Street, 4th Floor, New York",40.7048021,-74.0125228,New York,NY,10004,(212) 967-4318,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,9,1000030,1000110007,Battery Park City-Lower Manhattan
"Amas Musical Theatre, Inc.","257 West 52nd Street, 5th Floor","257 West 52nd Street, 5th Floor, New York",40.7634018,-73.9843282,New York,NY,10019,(212) 563-2565,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,131,1024826,1010240007,Midtown-Midtown South
America SCORES New York,America SCORES New York,"America SCORES New York, New York",40.7535985,-73.9919802,New York,NY,10018,(646) 660-0404,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,,,,
American Academy of Dramatic Arts,120 Madison Ave,"120 Madison Ave, New York",40.7455841,-73.9848693,New York,NY,7307,(212) 686-9244 x317,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,74,1016957,1008600016,Midtown-Midtown South
"American Bolero Dance Company, Inc.",42-24 9th Street,"42-24 9th Street, Long Island City",40.7533098,-73.9491899,Long Island City,NY,11101,(718) 392-8888,Dance,Queens Council District #26,Queens Community Board #2,Queens,19,4005310,4004620001,Hunters Point-Sunnyside-West Maspeth
"American Center for Musical Arts, Inc.","201 West 72nd Street, Ste. 3-K","201 West 72nd Street, Ste. 3-K, New York",40.7792311,-73.9823747,New York,NY,10023,(718) 680-1680,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,159,1077846,1011647501,Lincoln Square
Arts in the Armed Forces,PO Box 20687,"PO Box 20687, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11202,(917) 855-8455,Theater,Brooklyn Council District #39,Brooklyn Community Board #7,Manhattan,,,,
American Composers Orchestra,244 West 54th Street,"244 West 54th Street, New York",40.7641767,-73.9833744,New York,NY,10019,(212) 977-8495 x203,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,131,1024842,1010250054,Midtown-Midtown South
"American Dance Guild, Inc.","320 West 83rd Street, Apt. 7D","320 West 83rd Street, Apt. 7D, New York",40.7870707,-73.9802022,New York,NY,10024,(212) 874-6947,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,171,1033808,1012450034,Upper West Side
American Documentary,20 Jay Street,"20 Jay Street, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,11201,(212) 989-8121 x307,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
American Folk Art Museum,47-29 32nd Place,"47-29 32nd Place, Queens",40.741758,-73.9330625,Queens,NY,11101,(212) 265-1040 x114,Museum,Manhattan Council District #6,Manhattan Community Board #5,Queens,199,4003447,4002520018,Hunters Point-Sunnyside-West Maspeth
American Friends of the Ludwig Foundation of Cuba,"3 East 69th Street, Apt. 11B","3 East 69th Street, Apt. 11B, New York",40.7702801,-73.9675066,New York,NY,10021,(212) 628-3494,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,122,1041292,1013840010,Upper East Side-Carnegie Hill
"American Globe Theatre, Ltd.","145 West 46th Street, 3rd Floor","145 West 46th Street, 3rd Floor, New York",40.758313,-73.9836046,New York,NY,10036,(212) 869-9809,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1022665,1009990012,Midtown-Midtown South
"American Indian Artists, Inc.",288 East 10th Street,"288 East 10th Street, New York",40.7278372,-73.9826815,New York,NY,10009,(212) 598-0968,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan,34,1005912,1004370025,East Village
"American Indian Community House, Inc.","11 Broadway, 2nd Floor","11 Broadway, 2nd Floor, New York",40.7052529,-74.0140703,New York,NY,10004,(212) 598-0100 x232,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,13,1000044,1000130005,Battery Park City-Lower Manhattan
American Institute of Architects,536 LaGuardia Place,"536 LaGuardia Place, New York",40.7288227,-73.9986095,New York,NY,10012,(212) 358-0640,Architecture/Design,,,Manhattan,65,1008642,1005370026,West Village
American Institute of Graphic Arts,233 Broadway,"233 Broadway, New York",40.7125074,-74.0084426,New York,NY,10279,(212) 710-3125,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,21,1087167,1001237501,SoHo-TriBeCa-Civic Center-Little Italy
American Jewish Historical Society,15 West 16th Street,"15 West 16th Street, New York",40.738017,-73.9937463,New York,NY,10011,(212) 294-6160,Humanities,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,54,1080631,1008180027,Hudson Yards-Chelsea-Flatiron-Union Square
American Latin Association of New York,14 West 170th st.,"14 West 170th st., Bronx",40.8402845,-73.9186483,Bronx,NY,10452,(646) 260-3382,"Multi-Discipl, Perf & Non-Perf",,Brooklyn Community Board #2,Brooklyn,,,,
"American Lyric Theater Center, Inc.",410 West 42nd Street,"410 West 42nd Street, New York",40.7583763,-73.9934141,New York,NY,10036,(646) 216-8298,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan,115,1026330,1010510029,Clinton
"American Modern Ensemble, Inc.","400 West 43rd Street, Ste. 39-S","400 West 43rd Street, Ste. 39-S, New York",40.759033,-73.9930577,New York,NY,10036,(212) 349-7009,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1083745,1010520001,Clinton
American Museum of Natural History,Central Park West and 79th Street,"Central Park West and 79th Street, New York",40.7813241,-73.9739882,New York,NY,10024,(212) 769-5000,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,,,,
"Art Deco Society of New York, Inc.",P.O. Box 6205,"P.O. Box 6205, New York",40.7127753,-74.0059728,New York,NY,10150,(212) 679-3326,Architecture/Design,Manhattan Council District #5,Manhattan Community Board #6,Bronx,,,,
American Museum of the Moving Image,36-01 35th Avenue,"36-01 35th Avenue, Astoria",40.7563454,-73.9239496,Astoria,NY,11106,(718) 784-4520,Film/Video/Audio,Queens Council District #26,Queens Community Board #1,Queens,57,4439074,4006440001,Astoria
"American Music Center, Inc.",322 8th Avenue,"322 8th Avenue, New York",40.7472088,-73.9967762,New York,NY,10001,(212) 366-5260 x13,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1014225,1007760001,Midtown-Midtown South
American Numismatic Society,Broadway @ 155th Street,"Broadway @ 155th Street, New York",40.8327413,-73.9457493,New York,NY,10032,(212) 571-4470,,,,Manhattan,,,,
"American Opera Projects, Inc.",138 South Oxford Street #3B,"138 South Oxford Street #3B, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,11217,(718) 398-4024,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,179,3000000,3020040048,Fort Greene
