the_geom,postcode,organization_name,address,full_address,latitude,longitude,city,state,cartodb_id,main_phone__,discipline,council_district,community_board,borough,census_tract,bin,bbl,nta
0101000020E610000041E6142EF57E52C0963325A314644440,10023,"Pamplemousse Productions, Inc.","304 West 75th Street, #3H","304 West 75th Street, #3H, New York",40.7818798,-73.9837146,New York,NY,1513,(917) 930-4419,Music,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,66,3148714,3059400011,Bay Ridge
0101000020E6100000EA0203AD658052C0A1D79FC4E75A4440,10038,"Project Rebirth, Inc",163 William Street,"163 William Street, New York",40.710198,-74.0062058,New York,NY,1589,(212) 346-1482,,Manhattan Council District #1,,Manhattan,1501,1001269,1000920005,Battery Park City-Lower Manhattan
0101000020E6100000982ABDDB618052C0C37295383C5B4440,10108,"Sonnet Repertory Theatre, Inc.",P.O. Box 772,"P.O. Box 772, New York",40.7127753,-74.0059728,New York,NY,1791,(917) 703-3188,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,,,,
0101000020E6100000585E4DF9EB7E52C0AA02FFA5565B4440,10002,"St. Augustine's Project, Inc",333 Madison Street,"333 Madison Street, New York",40.7135818,-73.9831527,New York,NY,1815,(212) 673-5220,,,,Manhattan,202,1081965,1002670019,Lower East Side
0101000020E6100000ACC3769C477E52C014984EEB36654440,10036,ThaiLinks,628 Tenth Avenue,"628 Tenth Avenue, New York",40.7907385,-73.9731208,New York,NY,1894,(917) 648-1933,Film/Video/Audio,,Manhattan Community Board #2,Manhattan,121,1026430,1010540063,Clinton
0101000020E610000014AD8152597752C05A6034D0216C4440,10461,"Voices UnBroken, Inc.",P.O. Box 342,"P.O. Box 342, Bronx",40.8447819,-73.8648268,Bronx,NY,2014,(718) 292-3018,Literature,Bronx Council District #17,Bronx Community Board #1,Bronx,,,,
0101000020E610000032EAB534127D52C0F439D274D1644440,10128,"Arcos Orchestra, Ltd.",17 E 96th St 14B,"17 E 96th St 14B, New York",40.7876421,-73.9542362,New York,NY,139,(772) 766-2851,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,16002,1051441,1016020013,East Harlem South
0101000020E6100000E3A8DC44AD7652C0AF53F6A79E6C4440,10461,BCA Development Corporation,1738 Hone Avenue,"1738 Hone Avenue, Bronx",40.8485918,-73.8543255,Bronx,NY,230,(718) 401-9558,,,,Bronx,254,2044837,2041040001,Van Nest-Morris Park-Westchester Square
0101000020E6100000FCE42840147F52C09143C4CDA95C4440,10019,Complexions - A Concept in Dance,c/o NMBC,"c/o NMBC, New York",40.723932,-73.985611,New York,NY,522,(212) 777-7771,Dance,,Manhattan Community Board #1,Manhattan,,,,
0101000020E6100000B4CC7DCD4D7E52C0638C5940B2574440,11217,"Encompass Theatre Company, Inc.","138 South Oxford Street, Suite 1A","138 South Oxford Street, Suite 1A, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,707,(718) 398-4675,Music,,Manhattan Community Board #2,Manhattan,,,,
0101000020E6100000982ABDDB618052C0C37295383C5B4440,10013,"Four Seas Players, Inc",P.O. Box 1780,"P.O. Box 1780, New York",40.7127753,-74.0059728,New York,NY,795,(646) 456-8478,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,,,,
0101000020E6100000A9482AF8927F52C03834C060925F4440,10001,"Friends of Hudson River Park, Inc.",305 Seventh Avenue,"305 Seventh Avenue, New York",40.7466546,-73.9933453,New York,NY,813,(212) 757-0981,,,,Manhattan,95,1015060,1008037502,Midtown-Midtown South
0101000020E6100000F211E797777C52C05E57827B54654440,10030,"Harlem Textile Works, Inc.",P.O. Box 1090,"P.O. Box 1090, New York",40.7916407,-73.9447994,New York,NY,904,(212) 234-5257,Crafts,Manhattan Council District #10,Manhattan Community Board #9,Manhattan,,,,
0101000020E610000036AB3E575B7252C083B2DFC95D6C4440,10002,Lower East Side Tenement Museum,103 Orchard Street,"103 Orchard Street, New York",40.8466122,-73.786825,New York,NY,1185,(212) 431-0233 x222,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,18,1005471,1004140051,Chinatown
0101000020E6100000982ABDDB618052C0C37295383C5B4440,10163,Manhattan Choral Ensemble,P.O. Box 3852,"P.O. Box 3852, New York",40.7127753,-74.0059728,New York,NY,1206,(917) 586-7593,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,,,,
,10016,"ReLIT NY, Inc.",PO Box 1833,"PO Box 1833, New York",,,New York,NY,1643,(917) 573-0034,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,,,,
0101000020E6100000B8F589F23B7F52C0B82638503B5D4440,10003,"S.I.T.U., Inc.","127 Second Avenue, #19","127 Second Avenue, #19, New York",40.7283726,-73.9880339,New York,NY,1712,(212) 260-3546,Dance,,Manhattan Community Board #2,Manhattan,38,1006679,1004630031,East Village
,10471,Sinfonietta of Riverdale,P.O. Box 177,"P.O. Box 177, Riverdale",,,Riverdale,NY,1762,(917) 689-1211,Music,Bronx Council District #11,Bronx Community Board #8,Bronx,,,,
0101000020E61000006555849B8C7F52C07D3958A42E624440,10019,"Women's Interart Center, Inc.","549 West 52nd Street, Third Floor","549 West 52nd Street, Third Floor, New York",40.7670484,-73.992957,New York,NY,2061,(212) 246-1050,,,,Manhattan,135,1081734,1010810080,Clinton
0101000020E6100000C8C562E5618452C0764B17073C8E4440,10012,"Talking Band, Inc.",P.O. Box 293,"P.O. Box 293, New York",41.1112069,-74.0684751,New York,NY,1,(413) 299-9993,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,,,,
0101000020E6100000982ABDDB618052C0C37295383C5B4440,10023,"Zeus's Thigh, Ltd.",P.O. Box 237166,"P.O. Box 237166, New York",40.7127753,-74.0059728,New York,NY,2,(917) 880-5483,Theater,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,,,,
0101000020E6100000C4E4B276007F52C080B6D5AC335D4440,10009,122 Community Center Inc.,150 First Avenue,"150 First Avenue, New York",40.7281395,-73.9844033,New York,NY,3,(917) 864-5050,,Manhattan Council District #2,,Manhattan,34,1005894,1004370001,East Village
0101000020E610000038A27BD6B57D52C0E21291ABA2584440,11205,"13 Playwrights, Inc.","195 Willoughby Avenue, #402","195 Willoughby Avenue, #402, Brooklyn",40.6924643,-73.9642235,Brooklyn,NY,4,(917) 886-6545,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,193,3054896,3019050080,Clinton Hill
0101000020E61000008DBFA37CF7A552C07C74345882E04440,10014,"1687, Inc.",PO Box 1000,"PO Box 1000, New York",41.7539778,-74.5932304,New York,NY,5,(212) 252-3499,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,
0101000020E6100000C7E4C3A2587D52C06F7C92E0B2554440,11225,18 Mai Committee,"832 Franklin Avenue, PMB337","832 Franklin Avenue, PMB337, Brooklyn",40.6695214,-73.9585349,Brooklyn,NY,6,(718) 270-6935,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,213,3029691,3011870049,Crown Heights South
0101000020E6100000664AEB6F097F52C0BB945FABA95F4440,11209,20/20 Vision for Schools,8225 5th Avenue #323,"8225 5th Avenue #323, Brooklyn",40.7473654,-73.984951,Brooklyn,NY,7,(347) 921-4426,Visual Arts,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,142,3152153,3060090001,Bay Ridge
0101000020E610000026DB6564B57C52C01F6F4D15E75A4440,10163,"3 Graces Theater Co., Inc.",P.O. Box 442,"P.O. Box 442, New York",40.7101771,-73.9485713,New York,NY,8,(917) 385-0332,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
0101000020E61000003744CB70F28052C0C415061B8D5A4440,10006,3 Legged Dog,80 Greenwich Street,"80 Greenwich Street, New York",40.7074312,-74.0147974,New York,NY,9,(212) 645-0374,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,13,1078977,1000180100,Battery Park City-Lower Manhattan
0101000020E61000009AB51490767F52C01028F62BF8604440,10036,42nd Street Development Corp.,330 West 42nd Street,"330 West 42nd Street, New York",40.7575736,-73.9916115,New York,NY,10,(212) 695-4242,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,115,1024926,1010320048,Clinton
0101000020E6100000A93121E6927F52C010255AF278604440,10018,"42nd Street Workshop, Inc.","312 West 36th Street, 4th Floor","312 West 36th Street, 4th Floor, New York",40.753691,-73.993341,New York,NY,11,(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1080495,1007590049,Hudson Yards-Chelsea-Flatiron-Union Square
0101000020E610000072874D64667D52C09A226530EB564440,11238,"4heads, Inc.",1022 Pacific St.,"1022 Pacific St., Brooklyn",40.6790524,-73.9593745,Brooklyn,NY,12,(412) 956-3330,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Manhattan,,,,
0101000020E61000002909E46D007E52C0E4B5B700D9654440,10019,"52nd Street Project, Inc.",789 Tenth Avenue,"789 Tenth Avenue, New York",40.7956849,-73.9687762,New York,NY,13,(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,135,1087777,1010817502,Clinton
0101000020E6100000D79C28AE4F7F52C0E7A095C50E5D4440,10003,"7 Loaves, Inc.","239 East 5th Street, #1D","239 East 5th Street, #1D, New York",40.7270133,-73.9892383,New York,NY,14,(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,38,1006629,1004610035,East Village
0101000020E6100000CC51369BFD7E52C00CD01154E85F4440,11215,"826NYC, Inc.",372 Fifth Avenue,"372 Fifth Avenue, Brooklyn",40.7492776,-73.9842289,Brooklyn,NY,15,(718) 499-9884,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,137,3021351,3009870042,Park Slope-Gowanus
0101000020E610000094707C48537152C01F0F22BEB8584440,11434,"A Better Jamaica, Inc.",114-73 178th Street,"114-73 178th Street, Jamaica",40.6931379,-73.7707082,Jamaica,NY,16,(718) 657-2605,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens,424,4219917,4103120056,St. Albans
0101000020E610000092527534337F52C056D86729B4594440,11201,A Blade of Grass Fund,81 Prospect Street,"81 Prospect Street, Brooklyn",40.7008106,-73.9875003,Brooklyn,NY,17,(646) 358-1164,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn,21,3000163,3000640025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0101000020E6100000912FFC3BB67E52C04EE7D4DF5C5C4440,10009,A Gathering of the Tribes,285 East 3rd Street,"285 East 3rd Street, New York",40.7215843,-73.9798727,New York,NY,18,(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,2601,1004405,1003730063,Lower East Side
0101000020E610000005F5D2B9C77E52C0F30934338E574440,11217,"A Public Space Literary Projects, Inc.",323 Dean Street,"323 Dean Street, Brooklyn",40.6840271,-73.9809403,Brooklyn,NY,19,(718) 858-8067,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,39,3001212,3001927501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0101000020E61000002222EB5F487D52C014FAAAA635634440,10075,AAMC Foundation,174 East 80th Street,"174 East 80th Street, New York",40.7750748,-73.9575424,New York,NY,20,(646) 405-8057,Visual Arts,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,140,1047499,1015080142,Upper East Side-Carnegie Hill
0101000020E6100000083E062B4E7F52C0AA108FC4CB554440,11215,ABAKUA Afro-Latin Dance Company,"250 Ninth Street, 3rd Floor","250 Ninth Street, 3rd Floor, Brooklyn",40.670281,-73.989146,Brooklyn,NY,21,(917) 570-6089,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,121,3022243,3010090034,Park Slope-Gowanus
0101000020E6100000F07096ED1E7F52C0CA5F10470D5C4440,10002,ABC No Rio,"107 Suffolk Street, #305","107 Suffolk Street, #305, New York",40.7191552,-73.9862627,New York,NY,22,(212) 254-3697,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
0101000020E610000059BA27B4517F52C04AE5924F345F4440,10010,"ACMP Associated Chamber Music Players, Inc.","1133 Broadway, Suite 810","1133 Broadway, Suite 810, New York",40.7437839,-73.9893618,New York,NY,23,(212) 645-7424,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,58,1015625,1008270049,Hudson Yards-Chelsea-Flatiron-Union Square
0101000020E6100000C1E677F5057E52C0D4C045DDBD584440,11205,ACTIONPLAY INCORPORATED,417 Myrtle Ave. #39,"417 Myrtle Ave. #39, Brooklyn",40.6932942,-73.9691137,Brooklyn,NY,24,(844) 228-7529,Film/Video/Audio,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,187,3054291,3018870095,Fort Greene
0101000020E6100000D4F60A66277F52C0E257ACE1225A4440,11201,"AFC New York, Inc.",20 Jay Street,"20 Jay Street, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,25,(718) 753-3464,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #3,Brooklyn,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
0101000020E610000075D7C864278052C049F59D5F945F4440,10011,"AHL Foundation, Inc.","420 West 23rd Street, #7A","420 West 23rd Street, #7A, New York",40.7467155,-74.0024044,New York,NY,26,(516) 983-3935,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,93,1012691,1007207501,Hudson Yards-Chelsea-Flatiron-Union Square
0101000020E6100000792C6CBCAA7A52C0CB9D996038634440,11105,"AKTINA Productions, Inc.",23-50 27th Street,"23-50 27th Street, Astoria",40.775158,-73.9166709,Astoria,NY,27,(718) 545-1151,Music,Queens Council District #22,Queens Community Board #1,Queens,97,4018140,4008540056,Steinway
0101000020E6100000B4CC7DCD4D7E52C0638C5940B2574440,11217,ANDHOW! Theater Company Inc.,"138 South Oxford Street, Ste. 4C","138 South Oxford Street, Ste. 4C, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,28,(718) 398-3690,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,179,3000000,3020040048,Fort Greene
0101000020E6100000FC1BB4571F7152C0AA0CE36E10594440,11412,"Aims of Modzawe, Inc.",187-40 Quencer Road,"187-40 Quencer Road, St. Albans",40.695814,-73.767538,St. Albans,NY,29,(347) 231-2595,Dance,,Queens Community Board #12,Queens,398,4221355,4104010119,St. Albans
0101000020E610000005CE0825827D52C0555117844D554440,11225,ANONYMOUS ENSEMBLE INC,104 Montgomery St.,"104 Montgomery St., Brooklyn",40.6664281,-73.9610684,Brooklyn,NY,30,(917) 701-8388,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,213,3029727,3011920030,Crown Heights South
0101000020E610000077DCF0BB697F52C0E6FCB90D0F5D4440,10003,"ARC on 4th Street, Inc.",59 East 4th Street,"59 East 4th Street, New York",40.7270219,-73.9908285,New York,NY,31,(212) 477-5340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,,Manhattan,38,1082642,1004600056,East Village
0101000020E6100000A4B041156D7C52C0436DC08CCE564440,11215,"American Story Project Theater Company, Inc.",PO Box 150240,"PO Box 150240, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,107,(914) 907-4041,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Manhattan,,,,
0101000020E610000091926813717952C081423D7D04554440,11207,ARTs East New York Inc.,534 Livonia Ave.,"534 Livonia Ave., Brooklyn",40.6641995,-73.8975266,Brooklyn,NY,32,(718) 676-6006 x101,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,1130,3418180,3038197501,East New York (Pennsylvania Ave)
0101000020E6100000AB949EE9257E52C0BE66B96C74664440,10001,"ASDT, Inc. - The American Spanish Dance Theatre",c/o Lotus Music and Dance,"c/o Lotus Music and Dance, New York",40.800428,-73.971064,New York,NY,33,(212) 674-6725,Dance,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,,,,
0101000020E610000006F52D73BA7952C0C05E61C1FD684440,10459,Aaccapella Light Sound Organization Plus,851A Prospect Avenue,"851A Prospect Avenue, Bronx",40.820244,-73.902005,Bronx,NY,34,(646) 453-3535,"Multi-Discipline, Non-Perform",,Brooklyn Community Board #2,Brooklyn,,,,
0101000020E6100000D8AE1A95E57C52C0A372B8FBC1684440,10031,"Aaron Davis Hall, Inc.",150 Convent Avenue,"150 Convent Avenue, New York",40.8184199,-73.9515126,New York,NY,35,(212) 281-9240,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,21303,1086181,1019710018,Manhattanville
0101000020E6100000A93121E6927F52C010255AF278604440,10018,Abingdon Theatre Company,"312 West 36th Street, 6th Floor","312 West 36th Street, 6th Floor, New York",40.753691,-73.993341,New York,NY,36,(212) 868-2055 x224,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,111,1080495,1007590049,Hudson Yards-Chelsea-Flatiron-Union Square
0101000020E61000006B96708D747F52C05152BBBABE5D4440,10003,Abraham Lincoln Brigade Archives,"799 Broadway, Ste. 341","799 Broadway, Ste. 341, New York",40.7323831,-73.9914888,New York,NY,37,(212) 674-5398,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,61,1009108,1005620024,West Village
0101000020E6100000C3CAB2710E7D52C0F9CA72C8BC544440,11225,"AbunDance Academy of the Arts, Inc.",430 Rogers Avenue,"430 Rogers Avenue, Brooklyn",40.6620112,-73.9540066,Brooklyn,NY,38,(347) 788-1069,"Multi-Discipline, Performing",Brooklyn Council District #40,Brooklyn Community Board #9,Brooklyn,800,3035282,3013280044,Prospect Lefferts Gardens-Wingate
0101000020E61000009F22E2418E7F52C0DACA4BFE27614440,10036,"Abundant Waters, Inc.",400 W.43rd St. #36G,"400 W.43rd St. #36G, New York",40.759033,-73.9930577,New York,NY,39,(212) 564-2589,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1083745,1010520001,Clinton
0101000020E6100000620674707A8052C07062A307995A4440,10038,Academy of American Poets,75 Maiden Lane,"75 Maiden Lane, New York",40.7077951,-74.0074731,New York,NY,40,(212) 274-0343 x19,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,1502,1001112,1000680011,Battery Park City-Lower Manhattan
0101000020E610000006FF113CF47952C0BDEA5CAC03614440,11377,"Academy of Bosnia and Herzegovina, Inc.",55-23 31st Avenue 6D,"55-23 31st Avenue 6D, Woodside",40.7579246,-73.9055319,Woodside,NY,41,(214) 597-2789,Film/Video/Audio,Queens Council District #22,Queens Community Board #1,Manhattan,,,,
0101000020E610000026D2EC702A8052C0A2F77C83E55B4440,10013,Access Theater,380 Broadway,"380 Broadway, New York",40.7179417,-74.0025904,New York,NY,42,(212) 966-1047,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,31,1002317,1001950001,SoHo-TriBeCa-Civic Center-Little Italy
0101000020E610000093DD712F557F52C0F62A8DF3925E4440,10003,Actors Company Theatre,"900 Broadway, Ste. 905","900 Broadway, Ste. 905, New York",40.7388596,-73.9895743,New York,NY,43,(212) 645-8228,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,52,1016184,1008480061,Hudson Yards-Chelsea-Flatiron-Union Square
0101000020E6100000691A14CD837F52C000D01731A25F4440,10001,"Actors Theatre Workshop, Inc.","145 W. 28th St., 3rd Floor","145 W. 28th St., 3rd Floor, New York",40.7471372,-73.9924195,New York,NY,44,(212) 947-1386,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,95,1015100,1008040011,Midtown-Midtown South
0101000020E61000008F899466F37E52C06C45F69C4F614440,10019,Actors' Fund of America,"729 Seventh Avenue, 10th Floor","729 Seventh Avenue, 10th Floor, New York",40.7602421,-73.983606,New York,NY,45,(212) 221-7300,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,125,1022699,1010017501,Midtown-Midtown South
0101000020E61000001E49939CDD7652C09C1320AFAC6A4440,10462,African American Women In Cinema,2006 Westchester Avenue,"2006 Westchester Avenue, Parkchester",40.8333949,-73.8572761,Parkchester,NY,46,(347) 310-3445,Other,Bronx Council District #15,Bronx Community Board #12,Bronx,92,2026267,2038050001,Westchester-Unionport
0101000020E6100000406777ED777752C07A3FC978EFA74440,10163,"African Cultural Center, Inc.",P.O. Box 3147,"P.O. Box 3147, New York",41.3119956,-73.8666948,New York,NY,47,(646) 289-1877,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,
0101000020E6100000BBA6F6D8CC7D52C059C97D61E8664440,10025,African Diaspora Film Festival,"535 Cathedral Parkway, Ste. 14B","535 Cathedral Parkway, Ste. 14B, New York",40.8039667,-73.9656279,New York,NY,48,(212) 864-1760,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #9,Manhattan,199,1056904,1018820008,Morningside Heights
0101000020E61000007BFA63B5D47F52C0341AAF2FC85E4440,10011,"African Film Festival, Inc.","154 West 18th Street, Ste. 2A","154 West 18th Street, Ste. 2A, New York",40.7404842,-73.9973577,New York,NY,49,(212) 352-1720,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,81,1014671,1007930067,Hudson Yards-Chelsea-Flatiron-Union Square
0101000020E6100000437EECE4427E52C0B7932D37BD654440,10025,"African Voices Communications, Inc.",270 West 96th Street,"270 West 96th Street, New York",40.7948369,-73.9728329,New York,NY,50,(212) 865-2982,Literature,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,183,1033711,1012430060,Upper West Side
0101000020E610000083C87D062F7252C0350BB43BA45A4440,11432,"Afrikan Poetry Theatre, Inc.",176-03 Jamaica Avenue,"176-03 Jamaica Avenue, Jamaica",40.708137,-73.7841202,Jamaica,NY,51,(718) 523-3312,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,468,4209975,4098120008,Jamaica
0101000020E6100000F07096ED1E7F52C0CA5F10470D5C4440,10002,Afro Brazil Arts,"107 Suffolk Street, Studio 307","107 Suffolk Street, Studio 307, New York",40.7191552,-73.9862627,New York,NY,52,(212) 677-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
0101000020E6100000F07096ED1E7F52C0CA5F10470D5C4440,10002,"Afro-Asian, Inc.","107 Suffolk Street, Apt. 213-A","107 Suffolk Street, Apt. 213-A, New York",40.7191552,-73.9862627,New York,NY,53,(212) 253-2280,Music,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,1402,1004301,1003530054,Lower East Side
0101000020E6100000B296A7180C7752C0512E8D5F78554440,11208,Afro-Heritage Venture,"901 Drew Street, Suite 222","901 Drew Street, Suite 222, Brooklyn",40.667736,-73.8601133,Brooklyn,NY,54,(718) 510-5575,Folk Arts,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,1220,3323063,3045167501,East New York
0101000020E6100000914836B2067252C01C4B0E8E485D4440,11366,"After School Rocks, Inc.",187-08 Union Turnpike,"187-08 Union Turnpike, Fresh Meadows",40.7287767,-73.7816587,Fresh Meadows,NY,55,(718) 454-0100,Music,Queens Council District #26,Queens Community Board #9,Queens,1277,4156126,4072560114,Jamaica Estates-Holliswood
0101000020E6100000F09C77ADCE8052C0C4E9245B5D5A4440,10004,"Agudath Israel of America Community Services, Inc.","42 Broadway, 14th Floor","42 Broadway, 14th Floor, New York",40.705974,-74.0126146,New York,NY,56,(212) 797-9000 x260,Humanities,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,9,1000812,1000220020,Battery Park City-Lower Manhattan
0101000020E610000074ACF7C0B37D52C02DD736209D604440,10022,"Aks Chorale, Inc.",429 East 52nd Street,"429 East 52nd Street, New York",40.7547951,-73.9640963,New York,NY,57,(212) 755-4061,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,8603,1040156,1013640034,Turtle Bay-East Midtown
0101000020E6100000E5475744288052C0924E6E25855C4440,10013,"Alarm Will Sound, Inc.",51 Wooster Street,"51 Wooster Street, New York",40.7228133,-74.0024577,New York,NY,58,(773) 234-2846,Music,Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,,,,
